ComplexName,SubunitName,RegulatedGene,RegulationType,NumOfSubunits
ESR1-JUN-GRIP1 complex,ESR1,CCND1,Activation,3
ESR1-JUN-GRIP1 complex,ESR1,CCND1,Unknown,3
ESR1-JUN-GRIP1 complex,JUN,CCND1,Activation,3
ESR1-JUN-GRIP1 complex,JUN,CCND1,Repression,3
ESR1-JUN-GRIP1 complex,JUN,CCND1,Unknown,3
ESR1-JUN complex,ESR1,CCND1,Activation,2
ESR1-JUN complex,ESR1,CCND1,Unknown,2
ESR1-JUN complex,JUN,CCND1,Activation,2
ESR1-JUN complex,JUN,CCND1,Repression,2
ESR1-JUN complex,JUN,CCND1,Unknown,2
ESR1-SP1 complex,ESR1,CCND1,Activation,2
ESR1-SP1 complex,ESR1,CCND1,Unknown,2
ESR1-SP1 complex,SP1,CCND1,Activation,2
ESR1-SP1 complex,SP1,CCND1,Unknown,2
Er-alpha-p53-hdm2 complex,ESR1,CDK4,Unknown,3
Er-alpha-p53-hdm2 complex,TP53,CDK4,Unknown,3
ESR1-SP1 complex,ESR1,CDK4,Unknown,2
ESR1-SP1 complex,SP1,CDK4,Activation,2
Er-alpha-p53-hdm2 complex,ESR1,CDKN1A,Activation,3
Er-alpha-p53-hdm2 complex,ESR1,CDKN1A,Repression,3
Er-alpha-p53-hdm2 complex,TP53,CDKN1A,Activation,3
Er-alpha-p53-hdm2 complex,TP53,CDKN1A,Repression,3
Er-alpha-p53-hdm2 complex,TP53,CDKN1A,Unknown,3
ESR1-JUN-GRIP1 complex,ESR1,CDKN1A,Activation,3
ESR1-JUN-GRIP1 complex,ESR1,CDKN1A,Repression,3
ESR1-JUN-GRIP1 complex,JUN,CDKN1A,Repression,3
ESR1-JUN-GRIP1 complex,JUN,CDKN1A,Unknown,3
ESR1-JUN complex,ESR1,CDKN1A,Activation,2
ESR1-JUN complex,ESR1,CDKN1A,Repression,2
ESR1-JUN complex,JUN,CDKN1A,Repression,2
ESR1-JUN complex,JUN,CDKN1A,Unknown,2
ESR1-SP1 complex,ESR1,CDKN1A,Activation,2
ESR1-SP1 complex,ESR1,CDKN1A,Repression,2
ESR1-SP1 complex,SP1,CDKN1A,Activation,2
ESR1-SP1 complex,SP1,CDKN1A,Repression,2
ESR1-SP1 complex,SP1,CDKN1A,Unknown,2
Er-alpha-p53-hdm2 complex,ESR1,CDKN1B,Repression,3
Er-alpha-p53-hdm2 complex,TP53,CDKN1B,Unknown,3
ESR1-SP1 complex,ESR1,CDKN1B,Repression,2
ESR1-SP1 complex,SP1,CDKN1B,Activation,2
ESR1-SP1 complex,SP1,CDKN1B,Unknown,2
Er-alpha-p53-hdm2 complex,ESR1,CTNNB1,Repression,3
Er-alpha-p53-hdm2 complex,TP53,CTNNB1,Repression,3
Er-alpha-p53-hdm2 complex,ESR1,CTSD,Unknown,3
Er-alpha-p53-hdm2 complex,TP53,CTSD,Activation,3
ESR1-JUN-GRIP1 complex,ESR1,CYP19A1,Activation,3
ESR1-JUN-GRIP1 complex,JUN,CYP19A1,Repression,3
ESR1-JUN complex,ESR1,CYP19A1,Activation,2
ESR1-JUN complex,JUN,CYP19A1,Repression,2
ESR1-SP1 complex,ESR1,CYP19A1,Activation,2
ESR1-SP1 complex,SP1,CYP19A1,Unknown,2
ESR1-SP1 complex,ESR1,CYP1B1,Unknown,2
ESR1-SP1 complex,SP1,CYP1B1,Activation,2
Er-alpha-p53-hdm2 complex,ESR1,E2F1,Unknown,3
Er-alpha-p53-hdm2 complex,TP53,E2F1,Repression,3
ESR1-SP1 complex,ESR1,E2F1,Unknown,2
ESR1-SP1 complex,SP1,E2F1,Unknown,2
Er-alpha-p53-hdm2 complex,ESR1,EGFR,Unknown,3
Er-alpha-p53-hdm2 complex,TP53,EGFR,Activation,3
ESR1-JUN-GRIP1 complex,ESR1,EGFR,Unknown,3
ESR1-JUN-GRIP1 complex,JUN,EGFR,Activation,3
ESR1-JUN complex,ESR1,EGFR,Unknown,2
ESR1-JUN complex,JUN,EGFR,Activation,2
ESR1-SP1 complex,ESR1,EGFR,Unknown,2
ESR1-SP1 complex,SP1,EGFR,Repression,2
ESR1-SP1 complex,SP1,EGFR,Unknown,2
Er-alpha-p53-hdm2 complex,ESR1,ESR1,Unknown,3
Er-alpha-p53-hdm2 complex,TP53,ESR1,Unknown,3
ESR1-SP1 complex,ESR1,ESR1,Unknown,2
ESR1-SP1 complex,SP1,ESR1,Unknown,2
Er-alpha-p53-hdm2 complex,ESR1,FLT1,Unknown,3
Er-alpha-p53-hdm2 complex,TP53,FLT1,Activation,3
Er-alpha-p53-hdm2 complex,TP53,FLT1,Unknown,3
ESR1-SP1 complex,ESR1,FOS,Unknown,2
ESR1-SP1 complex,SP1,FOS,Unknown,2
ESR1-JUN-GRIP1 complex,ESR1,JUN,Activation,3
ESR1-JUN-GRIP1 complex,ESR1,JUN,Unknown,3
ESR1-JUN-GRIP1 complex,JUN,JUN,Activation,3
ESR1-JUN-GRIP1 complex,JUN,JUN,Unknown,3
ESR1-JUN complex,ESR1,JUN,Activation,2
ESR1-JUN complex,ESR1,JUN,Unknown,2
ESR1-JUN complex,JUN,JUN,Activation,2
ESR1-JUN complex,JUN,JUN,Unknown,2
ESR1-SP1 complex,ESR1,KDR,Activation,2
ESR1-SP1 complex,SP1,KDR,Repression,2
ESR1-SP1 complex,ESR1,KRT19,Activation,2
ESR1-SP1 complex,SP1,KRT19,Activation,2
Er-alpha-p53-hdm2 complex,ESR1,MDM2,Unknown,3
Er-alpha-p53-hdm2 complex,TP53,MDM2,Activation,3
Er-alpha-p53-hdm2 complex,TP53,MDM2,Unknown,3
ESR1-SP1 complex,ESR1,MDM2,Unknown,2
ESR1-SP1 complex,SP1,MDM2,Activation,2
ESR1-SP1 complex,SP1,MDM2,Unknown,2
ESR1-SP1 complex,ESR1,MICB,Unknown,2
ESR1-SP1 complex,SP1,MICB,Activation,2
ESR1-SP1 complex,SP1,MICB,Unknown,2
ESR1-JUN-GRIP1 complex,ESR1,MMP13,Unknown,3
ESR1-JUN-GRIP1 complex,JUN,MMP13,Activation,3
ESR1-JUN complex,ESR1,MMP13,Unknown,2
ESR1-JUN complex,JUN,MMP13,Activation,2
Er-alpha-p53-hdm2 complex,ESR1,MYC,Unknown,3
Er-alpha-p53-hdm2 complex,TP53,MYC,Repression,3
Er-alpha-p53-hdm2 complex,TP53,MYC,Unknown,3
ESR1-JUN-GRIP1 complex,ESR1,MYC,Unknown,3
ESR1-JUN-GRIP1 complex,JUN,MYC,Repression,3
ESR1-JUN complex,ESR1,MYC,Unknown,2
ESR1-JUN complex,JUN,MYC,Repression,2
ESR1-SP1 complex,ESR1,MYC,Unknown,2
ESR1-SP1 complex,SP1,MYC,Unknown,2
ESR1-JUN-GRIP1 complex,ESR1,NQO1,Repression,3
ESR1-JUN-GRIP1 complex,JUN,NQO1,Unknown,3
ESR1-JUN complex,ESR1,NQO1,Repression,2
ESR1-JUN complex,JUN,NQO1,Unknown,2
ESR1-JUN-GRIP1 complex,ESR1,PGR,Activation,3
ESR1-JUN-GRIP1 complex,ESR1,PGR,Unknown,3
ESR1-JUN-GRIP1 complex,JUN,PGR,Repression,3
ESR1-JUN complex,ESR1,PGR,Activation,2
ESR1-JUN complex,ESR1,PGR,Unknown,2
ESR1-JUN complex,JUN,PGR,Repression,2
ESR1-SP1 complex,ESR1,PGR,Activation,2
ESR1-SP1 complex,ESR1,PGR,Unknown,2
ESR1-SP1 complex,SP1,PGR,Activation,2
ESR1-SP1 complex,ESR1,PLAC1,Activation,2
ESR1-SP1 complex,ESR1,PLAC1,Unknown,2
ESR1-SP1 complex,SP1,PLAC1,Unknown,2
Er-alpha-p53-hdm2 complex,ESR1,PMAIP1,Activation,3
Er-alpha-p53-hdm2 complex,TP53,PMAIP1,Activation,3
Er-alpha-p53-hdm2 complex,TP53,PMAIP1,Unknown,3
ESR1-JUN-GRIP1 complex,ESR1,RARA,Activation,3
ESR1-JUN-GRIP1 complex,JUN,RARA,Repression,3
ESR1-JUN complex,ESR1,RARA,Activation,2
ESR1-JUN complex,JUN,RARA,Repression,2
ESR1-SP1 complex,ESR1,RARA,Activation,2
ESR1-SP1 complex,SP1,RARA,Activation,2
ESR1-JUN-GRIP1 complex,ESR1,RUNX2,Unknown,3
ESR1-JUN-GRIP1 complex,JUN,RUNX2,Unknown,3
ESR1-JUN complex,ESR1,RUNX2,Unknown,2
ESR1-JUN complex,JUN,RUNX2,Unknown,2
ESR1-SP1 complex,ESR1,SERPINE1,Activation,2
ESR1-SP1 complex,SP1,SERPINE1,Activation,2
ESR1-SP1 complex,SP1,SERPINE1,Unknown,2
Er-alpha-p53-hdm2 complex,ESR1,TERT,Activation,3
Er-alpha-p53-hdm2 complex,TP53,TERT,Repression,3
ESR1-JUN-GRIP1 complex,ESR1,TERT,Activation,3
ESR1-JUN-GRIP1 complex,JUN,TERT,Repression,3
ESR1-JUN complex,ESR1,TERT,Activation,2
ESR1-JUN complex,JUN,TERT,Repression,2
ESR1-SP1 complex,ESR1,TERT,Activation,2
ESR1-SP1 complex,SP1,TERT,Activation,2
ESR1-SP1 complex,SP1,TERT,Unknown,2
ESR1-JUN-GRIP1 complex,ESR1,TFF1,Activation,3
ESR1-JUN-GRIP1 complex,ESR1,TFF1,Unknown,3
ESR1-JUN-GRIP1 complex,JUN,TFF1,Unknown,3
ESR1-JUN complex,ESR1,TFF1,Activation,2
ESR1-JUN complex,ESR1,TFF1,Unknown,2
ESR1-JUN complex,JUN,TFF1,Unknown,2
ESR1-SP1 complex,ESR1,TGFA,Activation,2
ESR1-SP1 complex,ESR1,TGFA,Unknown,2
ESR1-SP1 complex,SP1,TGFA,Unknown,2
Er-alpha-p53-hdm2 complex,ESR1,TP53,Repression,3
Er-alpha-p53-hdm2 complex,TP53,TP53,Activation,3
Er-alpha-p53-hdm2 complex,TP53,TP53,Unknown,3
ESR1-JUN-GRIP1 complex,ESR1,TP53,Repression,3
ESR1-JUN-GRIP1 complex,JUN,TP53,Repression,3
ESR1-JUN-GRIP1 complex,JUN,TP53,Unknown,3
ESR1-JUN complex,ESR1,TP53,Repression,2
ESR1-JUN complex,JUN,TP53,Repression,2
ESR1-JUN complex,JUN,TP53,Unknown,2
Er-alpha-p53-hdm2 complex,ESR1,TYMS,Unknown,3
Er-alpha-p53-hdm2 complex,TP53,TYMS,Repression,3
ESR1-SP1 complex,ESR1,TYMS,Unknown,2
ESR1-SP1 complex,SP1,TYMS,Unknown,2
ESR1-SP1 complex,ESR1,UGT1A4,Activation,2
ESR1-SP1 complex,SP1,UGT1A4,Activation,2
ESR1-JUN-GRIP1 complex,ESR1,UGT2B15,Activation,3
ESR1-JUN-GRIP1 complex,JUN,UGT2B15,Activation,3
ESR1-JUN complex,ESR1,UGT2B15,Activation,2
ESR1-JUN complex,JUN,UGT2B15,Activation,2
ESR1-SP1 complex,ESR1,UGT2B15,Activation,2
ESR1-SP1 complex,SP1,UGT2B15,Unknown,2
Er-alpha-p53-hdm2 complex,ESR1,VEGFA,Activation,3
Er-alpha-p53-hdm2 complex,ESR1,VEGFA,Unknown,3
Er-alpha-p53-hdm2 complex,TP53,VEGFA,Activation,3
Er-alpha-p53-hdm2 complex,TP53,VEGFA,Repression,3
ESR1-JUN-GRIP1 complex,ESR1,VEGFA,Activation,3
ESR1-JUN-GRIP1 complex,ESR1,VEGFA,Unknown,3
ESR1-JUN-GRIP1 complex,JUN,VEGFA,Repression,3
ESR1-JUN complex,ESR1,VEGFA,Activation,2
ESR1-JUN complex,ESR1,VEGFA,Unknown,2
ESR1-JUN complex,JUN,VEGFA,Repression,2
ESR1-SP1 complex,ESR1,VEGFA,Activation,2
ESR1-SP1 complex,ESR1,VEGFA,Unknown,2
ESR1-SP1 complex,SP1,VEGFA,Activation,2
ESR1-SP1 complex,SP1,VEGFA,Repression,2
ESR1-SP1 complex,SP1,VEGFA,Unknown,2
ETS2-ETS1 complex,ETS1,ANGPT2,Activation,2
ETS2-ETS1 complex,ETS2,ANGPT2,Activation,2
ETS2-ETS1 complex,ETS1,ANPEP,Activation,2
ETS2-ETS1 complex,ETS2,ANPEP,Activation,2
ETS2-ETS1 complex,ETS1,CDKN1A,Unknown,2
ETS2-ETS1 complex,ETS2,CDKN1A,Unknown,2
ETS2-ETS1 complex,ETS1,CDKN2A,Unknown,2
ETS2-ETS1 complex,ETS2,CDKN2A,Unknown,2
ETS2-ETS1 complex,ETS1,CSF2,Unknown,2
ETS2-ETS1 complex,ETS2,CSF2,Activation,2
ETS2-ETS1 complex,ETS1,CSF3R,Activation,2
ETS2-ETS1 complex,ETS2,CSF3R,Activation,2
ETS2-ETS1 complex,ETS1,EGR1,Activation,2
ETS2-ETS1 complex,ETS1,EGR1,Unknown,2
ETS2-ETS1 complex,ETS2,EGR1,Unknown,2
ETS2-ETS1 complex,ETS1,ERG,Activation,2
ETS2-ETS1 complex,ETS2,ERG,Activation,2
ETS2-ETS1 complex,ETS1,FLI1,Activation,2
ETS2-ETS1 complex,ETS2,FLI1,Activation,2
ETS2-ETS1 complex,ETS1,IL5,Activation,2
ETS2-ETS1 complex,ETS2,IL5,Activation,2
ETS2-ETS1 complex,ETS1,LCK,Activation,2
ETS2-ETS1 complex,ETS2,LCK,Activation,2
ETS2-ETS1 complex,ETS1,MDM2,Repression,2
ETS2-ETS1 complex,ETS2,MDM2,Activation,2
ETS2-ETS1 complex,ETS1,MMP1,Activation,2
ETS2-ETS1 complex,ETS1,MMP1,Unknown,2
ETS2-ETS1 complex,ETS2,MMP1,Unknown,2
ETS2-ETS1 complex,ETS1,MMP3,Unknown,2
ETS2-ETS1 complex,ETS2,MMP3,Unknown,2
ETS2-ETS1 complex,ETS1,MMP9,Activation,2
ETS2-ETS1 complex,ETS1,MMP9,Unknown,2
ETS2-ETS1 complex,ETS2,MMP9,Activation,2
ETS2-ETS1 complex,ETS1,TERT,Repression,2
ETS2-ETS1 complex,ETS2,TERT,Unknown,2
ETS2-ETS1 complex,ETS1,TNC,Activation,2
ETS2-ETS1 complex,ETS1,TNC,Unknown,2
ETS2-ETS1 complex,ETS2,TNC,Unknown,2
ETS2-ETS1 complex,ETS1,TP53,Unknown,2
ETS2-ETS1 complex,ETS2,TP53,Unknown,2
ETS2-ETS1 complex,ETS1,VWF,Unknown,2
ETS2-ETS1 complex,ETS2,VWF,Unknown,2
ETS2-FOS-JUN complex,ETS2,APP,Unknown,3
ETS2-FOS-JUN complex,JUN,APP,Unknown,3
ETS2-FOS-JUN complex,ETS2,CDKN1A,Unknown,3
ETS2-FOS-JUN complex,JUN,CDKN1A,Repression,3
ETS2-FOS-JUN complex,JUN,CDKN1A,Unknown,3
ETS2-FOS-JUN complex,ETS2,CSF2,Activation,3
ETS2-FOS-JUN complex,JUN,CSF2,Unknown,3
ETS2-FOS-JUN complex,ETS2,CXCL8,Activation,3
ETS2-FOS-JUN complex,FOS,CXCL8,Unknown,3
ETS2-FOS-JUN complex,JUN,CXCL8,Activation,3
ETS2-FOS-JUN complex,JUN,CXCL8,Unknown,3
ETS2-FOS-JUN complex,ETS2,IL12B,Unknown,3
ETS2-FOS-JUN complex,JUN,IL12B,Activation,3
ETS2-FOS-JUN complex,ETS2,MMP1,Unknown,3
ETS2-FOS-JUN complex,FOS,MMP1,Activation,3
ETS2-FOS-JUN complex,FOS,MMP1,Unknown,3
ETS2-FOS-JUN complex,JUN,MMP1,Activation,3
ETS2-FOS-JUN complex,JUN,MMP1,Unknown,3
ETS2-FOS-JUN complex,ETS2,MMP2,Unknown,3
ETS2-FOS-JUN complex,JUN,MMP2,Activation,3
ETS2-FOS-JUN complex,ETS2,MMP3,Unknown,3
ETS2-FOS-JUN complex,FOS,MMP3,Unknown,3
ETS2-FOS-JUN complex,JUN,MMP3,Activation,3
ETS2-FOS-JUN complex,JUN,MMP3,Unknown,3
ETS2-FOS-JUN complex,ETS2,MMP9,Activation,3
ETS2-FOS-JUN complex,FOS,MMP9,Activation,3
ETS2-FOS-JUN complex,FOS,MMP9,Repression,3
ETS2-FOS-JUN complex,FOS,MMP9,Unknown,3
ETS2-FOS-JUN complex,JUN,MMP9,Activation,3
ETS2-FOS-JUN complex,JUN,MMP9,Repression,3
ETS2-FOS-JUN complex,JUN,MMP9,Unknown,3
ETS2-FOS-JUN complex,ETS2,MSR1,Activation,3
ETS2-FOS-JUN complex,JUN,MSR1,Activation,3
ETS2-FOS-JUN complex,JUN,MSR1,Unknown,3
ETS2-FOS-JUN complex,ETS2,MYC,Unknown,3
ETS2-FOS-JUN complex,FOS,MYC,Repression,3
ETS2-FOS-JUN complex,JUN,MYC,Repression,3
ETS2-FOS-JUN complex,ETS2,TERT,Unknown,3
ETS2-FOS-JUN complex,JUN,TERT,Repression,3
ETS2-FOS-JUN complex,ETS2,TNC,Unknown,3
ETS2-FOS-JUN complex,JUN,TNC,Activation,3
ETS2-FOS-JUN complex,ETS2,TP53,Unknown,3
ETS2-FOS-JUN complex,FOS,TP53,Unknown,3
ETS2-FOS-JUN complex,JUN,TP53,Repression,3
ETS2-FOS-JUN complex,JUN,TP53,Unknown,3
NFAT-JUN-FOS DNA-protein complex,FOS,ACTA1,Unknown,3
NFAT-JUN-FOS DNA-protein complex,JUN,ACTA1,Unknown,3
